"name","brand","price","discount","update_date","information","id","image","is_published"
"day time nitetime cough","Estee Lauder",2767,0.2,1647701163,"Nam nulla.",28930658,"http://dummyimage.com/297x560.png/5fa2dd/ffffff",True
"AMBIEN","Maybelline New York",2385,0.73,1638893153,"Aenean sit amet justo. Morbi ut odio.",98868497,"http://dummyimage.com/253x663.png/dddddd/000000",True
"Stay Awake","Estee Lauder",386,0.91,1579985793,"Nam nulla.",31894014,"http://dummyimage.com/545x459.png/cc0000/ffffff",True
"SHISEIDO SHEER MATIFYING COMPACT (REFILL)","Lancome",2482,0.42,1578421361,"Vivamus tortor.",43286988,"http://dummyimage.com/706x435.png/ff4444/ffffff",True
"Antiseptic","Lancome",4581,0.23,1632519861,"Quisque ut erat.",12060027,"http://dummyimage.com/584x447.png/dddddd/000000",True
"Immature","L'Oreal",1903,0.76,1636971601,"Nulla justo.",6791523,"http://dummyimage.com/256x642.png/5fa2dd/ffffff",True
"COUGH HEADACHE","Clarins",723,0.38,1612726157,"In quis justo. Maecenas rhoncus aliquam lacus.",23907495,"http://dummyimage.com/384x536.png/ff4444/ffffff",True
"Cough - Asthma","Lancome",465,1,1638872189,"Integer non velit.",42388989,"http://dummyimage.com/583x463.png/cc0000/ffffff",True
"ANTACID","Lancome",4580,0.06,1618354793,"Nulla tempus.",9675850,"http://dummyimage.com/408x450.png/ff4444/ffffff",True
"Ibuprofen","Dior",566,0.36,1619455118,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",59538603,"http://dummyimage.com/449x698.png/ff4444/ffffff",True
"Haloperidol Decanoate","L'Oreal",3054,0.16,1649309163,"Nunc rhoncus dui vel sem. Sed sagittis.",23580896,"http://dummyimage.com/520x577.png/ff4444/ffffff",True
"BENZTROPINE MESYLATE","Lancome",3564,0.46,1642827941,"Aenean fermentum.",80661731,"http://dummyimage.com/325x427.png/ff4444/ffffff",True
"OPANA","Clarins",4936,0.58,1621462203,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",62028383,"http://dummyimage.com/546x598.png/5fa2dd/ffffff",True
"DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory","Maybelline New York",2648,0.41,1614437370,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",23295517,"http://dummyimage.com/677x750.png/5fa2dd/ffffff",True
"XtraCare Foam Antibacterial Hand Wash","Guerlain",1201,0.21,1633137576,"Phasellus in felis. Donec semper sapien a libero. Nam dui.",26073051,"http://dummyimage.com/482x359.png/cc0000/ffffff",True
"OREGANO","CHANEL",4745,0.56,1583795314,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",95130866,"http://dummyimage.com/421x685.png/cc0000/ffffff",True
"ALTACE","Estee Lauder",2888,0.62,1642412745,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",52396569,"http://dummyimage.com/683x451.png/cc0000/ffffff",True
"Horseradish","Dior",2750,0.53,1615276822,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",20183477,"http://dummyimage.com/688x426.png/dddddd/000000",True
"Naproxen","L'Oreal",3649,0.3,1592062491,"Nulla tellus.",25194213,"http://dummyimage.com/362x735.png/cc0000/ffffff",True
"topcare antacid calcium","Lancome",2084,0.04,1613156700,"Sed ante.",511928,"http://dummyimage.com/409x620.png/cc0000/ffffff",True
"Alfenta","Clarins",3869,0.7,1652325593,"In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.",79238257,"http://dummyimage.com/300x549.png/dddddd/000000",True
"Synthroid","Maybelline New York",3360,0.32,1585836495,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",78947541,"http://dummyimage.com/745x713.png/ff4444/ffffff",True
"Nitrofurantoin Macrocrystals","Dior",3898,0.86,1611503155,"Nunc nisl.",23755723,"http://dummyimage.com/590x738.png/dddddd/000000",True
"concentrated aspirin free","Guerlain",755,0.45,1600207807,"Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.",8336930,"http://dummyimage.com/302x661.png/ff4444/ffffff",True
"Listerine HealthyWhite Restoring Clean Mint","CHANEL",3268,0.74,1607940444,"Maecenas tincidunt lacus at velit.",16560647,"http://dummyimage.com/271x683.png/cc0000/ffffff",True
"Woodwards HandClens Foaming Sanitizer","Estee Lauder",3213,0.43,1634678808,"Aliquam non mauris.",91540599,"http://dummyimage.com/722x267.png/ff4444/ffffff",True
"Hydroxyzine Hydrochloride","Dior",1073,0.56,1599919837,"Fusce consequat. Nulla nisl.",59012922,"http://dummyimage.com/398x261.png/ff4444/ffffff",True
"Flagyl","L'Oreal",2639,0.31,1600167918,"In quis justo.",60593300,"http://dummyimage.com/441x313.png/cc0000/ffffff",True
"NO-AD 45 Sunscreen","Lancome",4986,0.38,1597900232,"Curabitur convallis.",25226276,"http://dummyimage.com/638x417.png/5fa2dd/ffffff",True
"LEVOTHYROXINE SODIUM","Clarins",2022,0.1,1618559817,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",74429833,"http://dummyimage.com/278x320.png/cc0000/ffffff",True
"Tobacco Withdrawal","Maybelline New York",2960,0.57,1627377152,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",60916502,"http://dummyimage.com/365x398.png/cc0000/ffffff",True
"Folic Acid","Guerlain",963,0.12,1614182335,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",80328113,"http://dummyimage.com/501x715.png/ff4444/ffffff",True
"LOVASTATIN","CHANEL",4482,0.75,1605895399,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",78780496,"http://dummyimage.com/393x396.png/ff4444/ffffff",True
"7 select all day allergy","Estee Lauder",2294,0.6,1638191957,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",76539069,"http://dummyimage.com/364x274.png/cc0000/ffffff",True
"Deb Med Antibacterial Foam Hand Wash","Dior",2113,0.13,1615657220,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",79672390,"http://dummyimage.com/391x492.png/ff4444/ffffff",True
"Carbidopa and Levodopa","L'Oreal",400,0.24,1651805930,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",30945253,"http://dummyimage.com/484x587.png/dddddd/000000",True
"Poison Ivy","Lancome",3574,0.14,1614084515,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",34788405,"http://dummyimage.com/314x740.png/dddddd/000000",True
"Banana Boat Sport Performance","Clarins",882,0.42,1639821439,"Morbi non quam nec dui luctus rutrum.",3145761,"http://dummyimage.com/352x456.png/5fa2dd/ffffff",True
"Carisoprodol","Maybelline New York",1322,1,1603941090,"Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",97906440,"http://dummyimage.com/742x494.png/ff4444/ffffff",True
"Amturnide","Guerlain",1260,0.11,1651179879,"Duis ac nibh.",72854747,"http://dummyimage.com/356x288.png/5fa2dd/ffffff",True
"Bupropion Hydrochloride","CHANEL",753,0.29,1654266544,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",28226399,"http://dummyimage.com/526x482.png/dddddd/000000",True
